ecart_date,action,label,count
-21,saisie_d_index,E,1
-15,saisie_d_index,E,1
135,saisie_d_index,E,1
274,saisie_d_index,E,1
297,saisie_d_index,E,1
249,saisie_d_index,G,1
337,saisie_d_index,G,1
-15,saisie_d_index,G,1
130,saisie_d_index,G,1
170,saisie_d_index,G,1
225,saisie_d_index,G,1
134,saisie_d_index,G,1
368,saisie_d_index,G,1
349,saisie_d_index,G,1
155,saisie_d_index,G,1
-27,saisie_d_index,G,1
273,saisie_d_index,G,1
258,saisie_d_index,G,1
-13,saisie_d_index,G,1
262,saisie_d_index,G,1
283,saisie_d_index,G,1
366,saisie_d_index,G,1
362,saisie_d_index,G,1
364,saisie_d_index,G,1
280,saisie_d_index,G,1
224,saisie_d_index,G,1
279,saisie_d_index,G,1
299,saisie_d_index,G,1
229,saisie_d_index,G,1
351,saisie_d_index,G,1
198,saisie_d_index,G,1
219,saisie_d_index,G,1
-12,saisie_d_index,G,1
-20,saisie_d_index,G,1
150,saisie_d_index,G,1
336,saisie_d_index,G,1
165,saisie_d_index,G,1
-14,saisie_d_index,G,1
356,saisie_d_index,G,1
315,saisie_d_index,G,1
313,saisie_d_index,G,1
-19,saisie_d_index,G,1
175,saisie_d_index,G,1
227,saisie_d_index,G,1
275,saisie_d_index,G,1
291,saisie_d_index,G,1
231,saisie_d_index,G,1
228,saisie_d_index,G,1
73,saisie_d_index,G,1
232,saisie_d_index,G,1
267,saisie_d_index,G,1
213,saisie_d_index,G,1
345,saisie_d_index,G,1
312,saisie_d_index,G,1
-26,saisie_d_index,G,1
355,saisie_d_index,G,1
233,saisie_d_index,G,1
230,saisie_d_index,G,1
77,saisie_d_index,G,1
253,saisie_d_index,G,1
340,saisie_d_index,G,1
239,saisie_d_index,G,1
168,saisie_d_index,G,1
384,saisie_d_index,e,1
-9,saisie_d_index,e,1
379,saisie_d_index,e,1
-12,saisie_d_index,e,1
372,saisie_d_index,e,1
356,saisie_d_index,e,1
357,saisie_d_index,e,1
369,saisie_d_index,e,1
368,saisie_d_index,e,1
171,saisie_d_index,e,1
359,saisie_d_index,e,1
-23,saisie_d_index,e,1
380,saisie_d_index,e,1
-29,saisie_d_index,e,1
383,saisie_d_index,e,1
-21,saisie_d_index,e,1
-20,saisie_d_index,e,1
289,saisie_d_index,e,1
242,saisie_d_index,g,1
319,saisie_d_index,g,1
377,saisie_d_index,g,1
-19,saisie_d_index,g,1
-21,saisie_d_index,g,1
288,saisie_d_index,g,1
-26,saisie_d_index,g,1
-15,saisie_d_index,g,1
236,saisie_d_index,g,1
372,saisie_d_index,g,1
-10,saisie_d_index,g,1
-17,saisie_d_index,g,1
-23,saisie_d_index,g,1
322,saisie_d_index,g,1
-27,saisie_d_index,g,1
261,saisie_d_index,g,1
-8,saisie_d_index,g,1
299,saisie_d_index,g,1
277,saisie_d_index,g,1
199,saisie_d_index,g,1
262,saisie_d_index,g,1
368,saisie_d_index,g,1
-28,saisie_d_index,g,1
-19,paiement,cb,1
-27,paiement,cb,1
235,telechargement_de_document,cpv,1
135,telechargement_de_document,cpv,1
382,telechargement_de_document,cpv,1
219,telechargement_de_document,cpv,1
156,telechargement_de_document,cpv,1
76,telechargement_de_document,cpv,1
57,telechargement_de_document,cpv,1
356,telechargement_de_document,cpv,1
253,telechargement_de_document,cpv,1
267,telechargement_de_document,cpv,1
159,telechargement_de_document,cpv,1
65,telechargement_de_document,cpv,1
257,telechargement_de_document,cpv,1
46,telechargement_de_document,cpv,1
205,telechargement_de_document,cpv,1
258,telechargement_de_document,cpv,1
89,telechargement_de_document,cpv,1
242,telechargement_de_document,cpv,1
248,telechargement_de_document,cpv,1
206,telechargement_de_document,cpv,1
113,telechargement_de_document,cpv,1
355,telechargement_de_document,cpv,1
184,telechargement_de_document,cpv,1
179,telechargement_de_document,cpv,1
79,telechargement_de_document,cpv,1
58,telechargement_de_document,cpv,1
189,telechargement_de_document,cpv,1
133,telechargement_de_document,cpv,1
173,telechargement_de_document,cpv,1
119,telechargement_de_document,cpv,1
25,telechargement_de_document,cpv,1
118,telechargement_de_document,cpv,1
55,telechargement_de_document,cpv,1
172,telechargement_de_document,cpv,1
51,telechargement_de_document,cpv,1
32,telechargement_de_document,cpv,1
225,telechargement_de_document,cpv,1
193,telechargement_de_document,cpv,1
239,telechargement_de_document,cpv,1
216,telechargement_de_document,cpv,1
339,telechargement_de_document,cpv,1
115,telechargement_de_document,cpv,1
59,telechargement_de_document,cpv,1
129,telechargement_de_document,cpv,1
283,telechargement_de_document,cpv,1
83,telechargement_de_document,cpv,1
261,telechargement_de_document,cpv,1
74,telechargement_de_document,cpv,1
69,telechargement_de_document,cpv,1
85,telechargement_de_document,cpv,1
90,telechargement_de_document,cpv,1
199,telechargement_de_document,cpv,1
390,telechargement_de_document,cpv,1
291,telechargement_de_document,cpv,1
294,telechargement_de_document,cpv,1
315,telechargement_de_document,cpv,1
130,telechargement_de_document,cpv,1
300,telechargement_de_document,cpv,1
376,telechargement_de_document,cpv,1
240,telechargement_de_document,cpv,1
381,telechargement_de_document,cpv,1
307,telechargement_de_document,cpv,1
30,telechargement_de_document,cpv,1
